policy_type,avg_pct_reduction,median_pct_reduction,countries
Carbon_Tax,-17.558253428806335,-9.710122061099387,14.0
ETS,-16.201908266217114,-12.36594470710757,8.0
Mixed,-19.441127840659334,-14.877475234355881,9.0
No_Carbon_Pricing,7.124591938929172,9.423525844627045,10.0
